data_captura,codigo_insumo,descricao_insumo,unidade,preco_mediano,uf,data_referencia,desonerado
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.56,MG,2026-01,False
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.1,MG,2026-01,False
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,11.46,MG,2026-01,False
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.38,MG,2026-01,False
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,14.15,MG,2026-01,False
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,20.99,MG,2026-01,False
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.13,MG,2026-01,False
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,33.18,MG,2026-01,False
2026-06-12,00000088,Pedreiro (horista),H,27.99,MG,2026-01,False
2026-06-12,00006111,Servente de pedreiro (horista),H,20.45,MG,2026-01,False
2026-06-12,00000120,Pintor (horista),H,27.21,MG,2026-01,False
2026-06-12,00000246,Eletricista (horista),H,28.94,MG,2026-01,False
2026-06-12,00000247,Encanador (horista),H,28.03,MG,2026-01,False
2026-06-12,00004012,Carpinteiro de formas (horista),H,27.75,MG,2026-01,False
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.9,AC,2026-01,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,107.38,AC,2026-01,True
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,93.83,AC,2026-01,True
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,10.07,AC,2026-01,True
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,769.51,AC,2026-01,True
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,4.44,AC,2026-01,True
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.62,AC,2026-01,True
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,14.18,AC,2026-01,True
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.97,AC,2026-01,True
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,17.72,AC,2026-01,True
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,25.57,AC,2026-01,True
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.41,AC,2026-01,True
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,40.7,AC,2026-01,True
2026-06-12,00000088,Pedreiro (horista),H,29.88,AC,2026-01,True
2026-06-12,00006111,Servente de pedreiro (horista),H,21.48,AC,2026-01,True
2026-06-12,00000120,Pintor (horista),H,28.6,AC,2026-01,True
2026-06-12,00000246,Eletricista (horista),H,30.5,AC,2026-01,True
2026-06-12,00000247,Encanador (horista),H,29.11,AC,2026-01,True
2026-06-12,00004012,Carpinteiro de formas (horista),H,29.83,AC,2026-01,True
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.9,AC,2026-01,False
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,104.88,AC,2026-01,False
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,94.36,AC,2026-01,False
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,9.9,AC,2026-01,False
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,773.0,AC,2026-01,False
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,4.52,AC,2026-01,False
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.57,AC,2026-01,False
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,14.15,AC,2026-01,False
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.95,AC,2026-01,False
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,17.58,AC,2026-01,False
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,26.25,AC,2026-01,False
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.41,AC,2026-01,False
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,40.94,AC,2026-01,False
2026-06-12,00000088,Pedreiro (horista),H,34.85,AC,2026-01,False
2026-06-12,00006111,Servente de pedreiro (horista),H,25.24,AC,2026-01,False
2026-06-12,00000120,Pintor (horista),H,33.12,AC,2026-01,False
2026-06-12,00000246,Eletricista (horista),H,36.0,AC,2026-01,False
2026-06-12,00000247,Encanador (horista),H,35.33,AC,2026-01,False
2026-06-12,00004012,Carpinteiro de formas (horista),H,34.97,AC,2026-01,False
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.75,SP,2026-02,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,90.59,SP,2026-02,True
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,79.56,SP,2026-02,True
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.48,SP,2026-02,True
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,650.72,SP,2026-02,True
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.83,SP,2026-02,True
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.2,SP,2026-02,True
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,11.97,SP,2026-02,True
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.48,SP,2026-02,True
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,15.15,SP,2026-02,True
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,21.95,SP,2026-02,True
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.22,SP,2026-02,True
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,35.59,SP,2026-02,True
2026-06-12,00000088,Pedreiro (horista),H,24.83,SP,2026-02,True
2026-06-12,00006111,Servente de pedreiro (horista),H,17.97,SP,2026-02,True
2026-06-12,00000120,Pintor (horista),H,24.27,SP,2026-02,True
2026-06-12,00000246,Eletricista (horista),H,25.93,SP,2026-02,True
2026-06-12,00000247,Encanador (horista),H,24.87,SP,2026-02,True
2026-06-12,00004012,Carpinteiro de formas (horista),H,25.48,SP,2026-02,True
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.76,SP,2026-02,False
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,90.47,SP,2026-02,False
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,81.17,SP,2026-02,False
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.63,SP,2026-02,False
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,647.83,SP,2026-02,False
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.78,SP,2026-02,False
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.21,SP,2026-02,False
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,12.04,SP,2026-02,False
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.51,SP,2026-02,False
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,15.19,SP,2026-02,False
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,22.25,SP,2026-02,False
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.22,SP,2026-02,False
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,34.79,SP,2026-02,False
2026-06-12,00000088,Pedreiro (horista),H,29.59,SP,2026-02,False
2026-06-12,00006111,Servente de pedreiro (horista),H,21.26,SP,2026-02,False
2026-06-12,00000120,Pintor (horista),H,28.8,SP,2026-02,False
2026-06-12,00000246,Eletricista (horista),H,30.63,SP,2026-02,False
2026-06-12,00000247,Encanador (horista),H,29.4,SP,2026-02,False
2026-06-12,00004012,Carpinteiro de formas (horista),H,29.63,SP,2026-02,False
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.78,RJ,2026-02,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,92.64,RJ,2026-02,True
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,82.27,RJ,2026-02,True
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.92,RJ,2026-02,True
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,672.37,RJ,2026-02,True
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.98,RJ,2026-02,True
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.28,RJ,2026-02,True
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,12.27,RJ,2026-02,True
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.63,RJ,2026-02,True
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,15.7,RJ,2026-02,True
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,23.12,RJ,2026-02,True
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.26,RJ,2026-02,True
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,36.65,RJ,2026-02,True
2026-06-12,00000088,Pedreiro (horista),H,25.65,RJ,2026-02,True
2026-06-12,00006111,Servente de pedreiro (horista),H,18.64,RJ,2026-02,True
2026-06-12,00000120,Pintor (horista),H,24.65,RJ,2026-02,True
2026-06-12,00000246,Eletricista (horista),H,26.86,RJ,2026-02,True
2026-06-12,00000247,Encanador (horista),H,25.56,RJ,2026-02,True
2026-06-12,00004012,Carpinteiro de formas (horista),H,25.81,RJ,2026-02,True
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.79,RJ,2026-02,False
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,92.6,RJ,2026-02,False
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,83.6,RJ,2026-02,False
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.8,RJ,2026-02,False
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,671.96,RJ,2026-02,False
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.99,RJ,2026-02,False
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.31,RJ,2026-02,False
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,12.45,RJ,2026-02,False
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.61,RJ,2026-02,False
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,15.38,RJ,2026-02,False
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,22.66,RJ,2026-02,False
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.26,RJ,2026-02,False
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,36.35,RJ,2026-02,False
2026-06-12,00000088,Pedreiro (horista),H,30.61,RJ,2026-02,False
2026-06-12,00006111,Servente de pedreiro (horista),H,22.17,RJ,2026-02,False
2026-06-12,00000120,Pintor (horista),H,28.95,RJ,2026-02,False
2026-06-12,00000246,Eletricista (horista),H,31.87,RJ,2026-02,False
2026-06-12,00000247,Encanador (horista),H,30.57,RJ,2026-02,False
2026-06-12,00004012,Carpinteiro de formas (horista),H,30.89,RJ,2026-02,False
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.71,MG,2026-02,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,87.2,MG,2026-02,True
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,75.49,MG,2026-02,True
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.05,MG,2026-02,True
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,622.98,MG,2026-02,True
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.65,MG,2026-02,True
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.09,MG,2026-02,True
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,11.34,MG,2026-02,True
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.42,MG,2026-02,True
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,14.23,MG,2026-02,True
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,21.09,MG,2026-02,True
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.15,MG,2026-02,True
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,33.37,MG,2026-02,True
2026-06-12,00000088,Pedreiro (horista),H,23.95,MG,2026-02,True
2026-06-12,00006111,Servente de pedreiro (horista),H,17.21,MG,2026-02,True
2026-06-12,00000120,Pintor (horista),H,23.24,MG,2026-02,True
2026-06-12,00000246,Eletricista (horista),H,24.63,MG,2026-02,True
2026-06-12,00000247,Encanador (horista),H,24.05,MG,2026-02,True
2026-06-12,00004012,Carpinteiro de formas (horista),H,23.71,MG,2026-02,True
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.71,MG,2026-02,False
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,86.46,MG,2026-02,False
2026-06-12,00004721,"Pedra britada n. 1 (9,5 a 19 mm) posto pedreira/fornecedor, sem frete",M3,76.0,MG,2026-02,False
2026-06-12,00000114,"Aco ca-50, 10,0 mm, ou ca-60, linear, vergalhao",KG,8.08,MG,2026-02,False
2026-06-12,00007258,Tijolo ceramico macico comum *5 x 10 x 20* cm (l x a x c),MIL,625.9,MG,2026-02,False
2026-06-12,00007271,Bloco de concreto estrutural 14 x 19 x 39 cm,UN,3.59,MG,2026-02,False
2026-06-12,00003402,"Telha ceramica tipo francesa, comprimento de cerca de 40 cm",UN,2.1,MG,2026-02,False
2026-06-12,00005318,"Tubo pvc soldavel, classe 15, dn 50 mm, para agua fria (nbr 5648)",M,11.64,MG,2026-02,False
2026-06-12,00001014,"Cabo de cobre flexivel isolado, 2,5 mm2, anti-chama 450/750 v",M,2.42,MG,2026-02,False
2026-06-12,00004812,"Disjuntor termomagnetico monopolar padrao din, 10a a 32a",UN,14.15,MG,2026-02,False
2026-06-12,00001287,"Tinta latex acrilica premium, cor branco fosco",L,20.84,MG,2026-02,False
2026-06-12,00001382,Argamassa colante ac-i para assentamento de placas ceramicas,KG,1.14,MG,2026-02,False
2026-06-12,00001389,"Placa de ceramica para piso, esmaltada premium, PEI 4",M2,33.88,MG,2026-02,False
2026-06-12,00000088,Pedreiro (horista),H,28.52,MG,2026-02,False
2026-06-12,00006111,Servente de pedreiro (horista),H,20.53,MG,2026-02,False
2026-06-12,00000120,Pintor (horista),H,26.96,MG,2026-02,False
2026-06-12,00000246,Eletricista (horista),H,29.02,MG,2026-02,False
2026-06-12,00000247,Encanador (horista),H,28.48,MG,2026-02,False
2026-06-12,00004012,Carpinteiro de formas (horista),H,28.37,MG,2026-02,False
2026-06-12,00001379,Cimento portland composto cp ii-32,KG,0.89,AC,2026-02,True
2026-06-12,00000370,"Areia media - posto jazida/fornecedor (retirado na jazida, sem transporte)",M3,108.4,AC,2026-02,True
